编号,网站名称,首页网址,列表页,注册资本,省份,市,区,主体,描述页,状态,设置完成,是否需手工添加,备注,利息管理费,利息管理费时段,利息管理费是否分段,电话,办公所在省,办公所在市,办公所在区,办公地址,注册地址,上线时间,倒闭时间,倒闭原因,更新频率,信用代码,房屋编码
1374,趣钱,http://www.quqian.com/,,5000,广东省,深圳市,前海,深圳前海齐融金融服务有限公司,,预警平台?,是?,否?,投标奖励不是所有人的奖励，不采 南 山警方于2017年8月14日对深圳普银区块链集团有限公司（普银、趣钱平台）涉嫌集资诈骗案立案侦查。警方已对张某（男，48岁?,,,,,广东?,深圳?,南山区?,深圳市南山区高新科技园高新中三道7号劲嘉科技大厦21楼?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2014-08-18?,2017-08-14?,涉嫌集资诈骗案?,1小时?,914403003116960763?,4403050020060100017000001?
1375,大众贷,http://www.dazhondai.com/,,1050,山东省,菏泽市,,菏泽融达金融信息咨询有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-04-01?,,网站打不开?,1小时?,,
1376,众人贷,http://www.zrd.cc/,,1000,广东省,深圳市,前海,深圳市深海电子商务有限公司,,问题平台?,是?,否?,原来网址http://www.zhongrend.com/?,,,,,河南?,郑州?,,河南省郑州市郑东新区东风东路创业路交叉口绿地之窗云峰B座2022?,深圳市前海深港合作区前湾一路鲤鱼门街一号前海深港合作区管理局综合办公楼A栋201室（入驻深圳市前海商务秘书有限公司）?,2014-01-08?,,,1小时?,914403000879737280?,4403050020060100017000001?
1377,一起投,https://www.17tou.cn/,,3000,广东省,深圳市,前海,深圳前海聚合创投电子商务有限公司,,问题平台?,是?,否?,,,,,,广东?,深圳?,福田区?,深圳市福田区卓越世纪中心3号楼B座30楼?,深圳市前海深港合作区前湾一路鲤鱼门街1号前海深港合作区管理局综合办公楼A栋201室（入驻深圳市前海商务秘书有限公司）?,2014-06-12?,,,1小时?,91440300094231343U?,4403050020060100017000001?
1378,甬发贷,http://www.yfadai.com/,,500,浙江省,宁波市,,宁波市甬发投资管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-26?,2015-01-19?,终止运营 问题发生时间：2015-01-19?,1小时?,,
1379,益合贷,http://www.yhedai.com/,,3000,内蒙古省,包头市,,内蒙古益合贷金融信息服务有限公司,,问题平台?,是?,否?,网站打不开 2018-02-09 未搜索到相关舆情信息?,,,,,,,,,,2014-07-21?,,,1小时?,,
1380,756金融网,http://www.hao756.com/,,100,浙江省,杭州市,滨江区,杭州天臣网络科技有限公司,,问题平台?,是?,否?,,,,,400-8565-756?,浙江?,杭州?,滨江区?,浙江省杭州市滨江区江虹路1750号信雅达国际创意中心B幢42F?,杭州市滨江区江虹路1750号信雅达国际创意中心1幢2704室?,2014-08-08?,,网站打不开?,1小时?,91330108094774671R?,
1381,1688易贷,http://www.1688yidai.com/,,1000,山东省,临沂市,,临沂丰业金融信息服务有限公司,,正常?,是?,否?,,,,,,,,,,,2013-10-05?,,,1小时?,,
1382,第四市场,http://www.fourthmart.com/index.php/index/index.shtml,,2000,北京市,北京市,,北京北瀛兴业科技有限公司,,问题平台?,否?,否?,,,,,,,,,,,2014-05-04?,,,1小时?,,
1383,SH.COM,http://www.sh.com/,,1000,广东省,深圳市,前海,深圳前海银澎互联网金融服务股份有限公司,,正常?,是?,否?,2016-10-29 原名收获宝?,,,,40099-32360?,广东?,深圳?,南山区?,深圳市南山区白石路深圳湾科技生态园9座B5单元9楼?,深圳市前海深港合作区梦海大道5033号卓越前海壹号A栋13层1301-1?,2014-06-03?,,,1小时?,914403003425303940?,4403050020060100017000001?
1384,云图资本,http://www.yuntuziben.com/,,2000,四川省,成都市,,四川融聚通投资有限公司,,问题平台?,是?,否?,提现困难 问题发生时间：2015-02-12 ?,,,,,,,,,,2014-08-26?,2015-02-12?,提现困难 问题发生时间：2015-02-12 ?,1小时?,,
1385,建融贷,http://www.jtouzi.com/,,1000,天津市,天津市,,天津建信汇盈商务信息咨询有限公司,,正常?,是?,否?,原名：建投网 http://www.jtouzi.com/?,,,,,,,,,,2014-08-20?,,,1小时?,,
1386,首机贷,http://www.4gdai.com/,,2000,广东省,深圳市,前海,深圳市首机互联网金融信息服务有限公司,,问题平台?,是?,否?,,,,,,广东?,深圳?,南山区?,深圳市南山区学府路与科园路交汇处深圳软件产业基地4栋D座1101-1102?,深圳市前海深港合作区前湾一路鲤鱼门街一号前海深港合作区管理局综合办公楼A栋201室（入驻深圳市前海商务秘书有限公司）?,2014-06-16?,,,1小时?,91440300093918370L?,4403050020060100017000001?
1387,乐驰金服,http://www.lechijinfu.com/,,5000,上海市,上海市,,上海乐驰金融信息服务有限公司,,问题平台?,是?,否?,2015-08-19 注册资本，运行主体更改 500 北京市 华融普惠(北京)投资管理有限公司 原来来这投http://www.laizhetou.com/?,,,,4008-623-088?,,,,上海市嘉定区城北路1818号上海金融谷11号楼?,,2014-06-19?,2016-05-25?,重大逾期?,1小时?,,
1388,携手贷,http://www.xieshoud.com/,,1000,广西省,南宁市,,广西乐联金融信息服务有限责任公司,,问题平台?,否?,否?,,,,,,,,,,,2014-10-26?,,网站打不开?,1小时?,,
1389,百凯祺,http://www.baikaiqi.com/,,2000,广东省,梅州市,,广东百凯祺投资管理有限公司,,问题平台?,否?,否?,,,,,,,,,,梅州市梅县区新兴路百福豪园AB栋6-9号?,2014-07-11?,2015-11-01?,提现困难?,1小时?,91441403097355018M?,
1390,赢城创投,http://www.ycctvip.com/,,500,山东省,莱芜市,,莱芜舜诚投资咨询有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-28?,2015-06-09?,打不开?,1小时?,,
1391,兴业创投,http://www.xingyechuangtou.com/,,2000,山东省,莱芜市,,莱芜兴业典当有限公司,,正常?,否?,否?,,8%?,,,,,,,,,2014-08-15?,,,1小时?,,
1392,融信宝(浙联储),http://www.zlccf.com/index.html,,7700,浙江省,宁波市,,宁波浙联储金融服务外包有限公司,,问题平台?,否?,否?,集资诈骗 2017-02-06 浙联储被爆雷，邹明明、李爱中、陈琳玲卷款跑路！ 2014.6.20 跑路 2015-03-03 http://www.ro?,,,,,,,,,,2014-05-05?,2017-01-24?,平台失联 2017-01-24?,1小时?,,
1393,佰易投,http://www.baiyitou.com/,,5000,四川省,成都市,,成都佰易财富投资管理有限公司,,问题平台?,否?,否?,成都佰易投今天中午解散官方群，跑路，登录官方网站，发现最后发标是11月14日。 http://bbs.wdzj.com/thread-224089-1-1.ht?,,,,,,,,,,2014-04-21?,2014-11-23?,跑路?,1小时?,,
1394,金相待,http://www.jinxiangdai.com/,,100,河南省,平顶山市,,平顶山市金相待电子技术服务有限公司,,问题平台?,否?,否?,2014-01-24有标 2014-09-29网站无法打开?,,,,,,,,,,2013-12-18?,,,1小时?,,
1395,保利贷,http://www.baolidai.com/,,1000,上海市,上海市,,保利贷（上海）金融信息服务有限公司,,预警平台?,是?,否?,,,,,400-049-9588?,,,,上海市黄浦区中山南路891号6楼?,,2014-07-02?,2014-10-26?,清盘?,1小时?,,
1396,农商信贷,http://www.nsxdai.com/,,500,江苏省,宿迁市,,宿迁皓宇商务信息咨询服务有限公司,,问题平台?,否?,否?,2015-04-18 http://www.synsxd.com/ 更改为http://www.nsxdai.com/?,,,,,,,,,,2014-11-24?,,,1小时?,,
1397,联保投资网,http://www.lianbaotouzi.com/,,1000,河南省,郑州市,,河南联硕金融服务有限公司,,正常?,否?,否?,,,,,,,,,,,2013-08-19?,,,1小时?,,
1398,网银贷,http://www.wangyindai.cn/,,5000,广东省,深圳市,南山区,晋商电子商务有限公司,,问题平台?,否?,否?,,,,,0755-86291611?,广东?,深圳?,南山区?,深圳市南山区科苑北路科兴科学园B4栋602室?,深圳市南山区高新科技园中区科苑路15号科兴科学园B4-602?,2014-08-20?,2016-08-05?,提现困难，债权清算公告?,1小时?,914403003059882323?,4403050070080500006000001?
1399,卓西创投(人人网贷),http://www.renrenwangdai.cn/,,500,上海市,上海市,,上海市卓西投资咨询有限公司,,问题平台?,否?,否?,9-29打不开，跳转到21汽车网?,,,,,,,,,,2013-11-07?,2014-09-10?,网站打不开?,1小时?,,
1400,随时融,https://www.ssrong.com/,,1000,北京市,北京市,,北京随时融网络技术有限公司,,预警平台?,否?,否?,,,,,,,,,,,2014-09-08?,,,1小时?,,
1401,汇金丰,http://www.p2pdi.com/,,1000,广东省,深圳市,前海,深圳前海汇金丰互联网金融服务有限公司,,问题平台?,否?,否?,,,,,,广东?,深圳?,福田区?,深圳市福田区彩田路大中华国际金融中心A座29层?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2014-08-18?,,,1小时?,914403003985194693?,4403050020060100017000001?
1402,盛德多投资网,http://www.sddtz.com/,,200,广东省,深圳市,龙岗区,深圳市盛德多投资理财有限公司,,问题平台?,是?,否?,盛德多 2014.9.3 诈骗?,,,,,广东?,深圳?,龙岗区?,深圳市龙岗区龙岗街道龙东社区桥南路102号??,深圳市龙岗区龙岗街道龙东社区桥南路102号?,2014-07-26?,2014-09-07?,平台诈骗?,1小时?,9144030009383306X5?,
1403,财富广域,http://www.cfgy.com/,,5500,北京市,北京市,,中楚文化旅游投资有限公司,,问题平台?,否?,否?,,,,,,,,,,,2014-08-06?,,,1小时?,,
1404,益农贷,http://www.gxhj.net/,,1000,广西省,玉林市,,陆川县恒基投资有限公司,,问题平台?,否?,否?,,,,,,,,,,,2014-08-28?,,,1小时?,,
1405,华夏信,http://www.huaxiaxin.com/,,1000,江苏省,无锡市,,江苏志雄电子商务有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-25?,,网站打不开?,1小时?,,
1406,红景创投,http://www.wfhjyt.com/,,800,山东省,潍坊市,,潍坊红景电子商务有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-09-01?,,网站打不开?,1小时?,,
1407,广裕贷,http://www.guangyudai.com/,,5000,江西省,吉安市,,江西广裕金融管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-12?,,,1小时?,,
1408,国汇金融,http://www.ghjr.com.cn/,,100,浙江省,宁波市,,宁波国汇金融科技有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-01?,,网站打不开?,1小时?,,
1409,银票网,http://www.yinpiao.com/,,3000,上海市,上海市,,上海市鸿翔金融服务有限公司,,问题平台?,是?,否?,7月6日，【银票网】公司负责人投案自首，称公司资金链已断裂。7日，上海市公安局已立案。?,,,,,,,,,,2014-08-08?,,,1小时?,,
1410,京东金融,http://jr.jd.com/index.html,,68999,北京市,北京市,,北京京东世纪贸易有限公司,,正常?,是?,否?,只有票据理财可以采?,,,,,,,,,,2014-03-27?,,,1小时?,,
1411,苏宁理财,https://licai.suning.com/bof/licaiIndex.htm,,15000,江苏省,南京市,,南京苏宁易付宝网络科技有限公司,,正常?,是?,否?,,,,,,,,,,,2014-09-25?,,,1小时?,,
1412,新浪微财富,https://m.weicaifu.com/,,6310,上海市,上海市,,上海微汇金融信息服务有限公司,,正常?,是?,否?,只能看见10页标PC端：https://www.weicaifu.com/?,,,,400-921-8887?,,,,上海市杨高南路428号由由世纪广场 一号楼25楼?,,2014-07-28?,,,1小时?,,
1413,辽宁贷贷通,http://www.ddt361.com/,,2000,辽宁省,大连市,,贷贷通(大连)网络科技有限公司,,正常?,是?,否?,,,,,,,,,,,2014-07-29?,,,1小时?,,
1414,阿里巴巴招财宝,https://zhaocaibao.alipay.com/pf/productList.htm,,1000,上海市,上海市,,上海招财宝金融信息服务有限公司,,正常?,是?,否?,投标记录采不到?,,,,,,,,,,2014-04-10?,,,1小时?,,
1415,百顺贷,http://www.baishundai.com/,,1080,山东省,聊城市,,聊城百顺贷网络科技有限公司,,问题平台?,否?,否?,,,,,,,,,,,2014-08-28?,,,1小时?,,
1416,隆万创投,http://www.longwanct.com/,,3000,上海市,上海市,,上海隆万金融信息服务有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-27?,2016-01-18?,网站打不开?,1小时?,,
1417,永合贷,http://www.helizu.com/,,1000,北京市,北京市,,北京合力组投资发展有限公司,,警?,否?,否?,2014-08-28 跑路了，27号上线?,,,,,,,,,,2014-08-28?,2014-08-28?,跑路?,1小时?,,
1418,标晨投资,http://www.bc895.com/,,10000,上海市,上海市,,上海标晨投资投资有限公司,,问题平台?,是?,否?,网贷天眼说 跑路了2014-12-15左右?,,,,4006311979?,,,,上海市奉贤区新四平公路468弄19幢2层38室?,,2014-07-20?,2014-12-10?,网站打不开?,1小时?,,
1419,合泽财富,http://www.hezecaifu.com.cn/,,1000,广东省,广州市,天河区,广州合泽投资管理有限公司,,问题平台?,否?,否?,,,,,020-29059029?,,,,广州市天河区珠江新城华强路9号保利克洛维2305?,广州市天河区黄埔大道西201号2511自编二（仅限办公用途）?,2014-09-05?,,,1小时?,,
1420,安凰贷,http://www.anhdai.com/,,5000,安徽省,合肥市,,安徽安凰盈投资管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-25?,,,1小时?,,
1421,银钱树,http://www.yinqianshu.com/,,1000,广东省,深圳市,罗湖区,深圳市银钱树财富投资管理有限公司,,问题平台?,是?,否?,,,,,,广东?,深圳?,罗湖区?,深圳市罗湖区南湖街道建设路南方证券大厦12A1?,深圳市罗湖区南湖街道嘉宾路爵士大厦16B10?,2014-08-12?,,,1小时?,91440300305912991C?,
1422,爱善贷,http://www.aishandai.com/,,300,湖南省,长沙市,天心区,湖南中盈善贷商务顾问有限责任公司,,警?,否?,否?,2014.4 打不开 爱善贷|网贷客服曝黑暗内幕 https://tieba.baidu.com/p/2739303720?red_tag=31793512?,,,,,,,,,湖南省长沙市天心区芙蓉中路三段380号汇金苑9栋1011-1房?,,,网站打不开?,1小时?,,
1423,惠融投资,https://www.cqhrdai.com/,,2000,重庆市,重庆市,,重庆惠融投资咨询有限责任公司,,问题平台?,否?,否?,2018-07-16 网站打不开?,,,,,,,,,,2014-04-01?,,,1小时?,,
1424,乐乐贷,http://www.lele365.com/,,1000,重庆市,重庆市,,重庆德同网络信息技术有限公司,,正常?,是?,否?,,,,,,,,,,,2014-09-24?,,,1小时?,,
1425,融魔方,http://www.rongmofang.com/,,500,重庆市,重庆市,,重庆澜鼎信息技术有限公司,,转型?,是?,否?,2017-4-18 400-6023-730回应平台转型不做融资，目前是资产端业务，做听水房前置资产?,,,,400-6023-730?,,,,重庆市渝北区黄山大道中段55号附2号麒麟C座9楼?,,2016-06-12?,2017-01-21?,平台转型?,1小时?,,
1426,e元贷,http://www.eydp2p.com/,,500,重庆市,重庆市,,重庆世元财富管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-07-08?,2016-05-04?,平台失联 问题发生时间：2016-05-04?,1小时?,,
1427,重庆财神在线,http://www.caishenzaixian.com/,,1000,重庆市,重庆市,,重庆财神在线投资信息服务有限公司,,正常?,是?,否?,2017-02-23 http://caishenzaixian.com/更改为 http://www.caishenzaixian.com/?,,,,,,,,,,2014-05-16?,,,1小时?,,
1428,溢诚金融,http://www.ycjinrong.com/,,1000,陕西省,咸阳市,,陕西鑫融道金融服务股份有限公司,,正常?,否?,否?,旧站：https://www.ycjinrong.com 2015-07-20 融资宝 替换http://www.rzbao.cn/ 不是p2p网站?,,,,,,,,,,2015-03-18?,,,1小时?,,
1429,达信投资,http://www.daxingic.com/,,100,重庆市,重庆市,,重庆晋达信投资有限公司,,问题平台?,否?,否?,2015年没标?,,,,,,,,,,2013-08-08?,2013-08-09?,打不开?,1小时?,,
1430,三峡金融,http://www.cqsxjr.com/,,1000,重庆市,重庆市,,重庆金州金融服务有限公司,,问题平台?,否?,否?,原名：山峡金融?,,,,,,,,,,2015-07-06?,,,1小时?,,
1431,金源创投,http://www.jinyuanct.com/,,3000,浙江省,杭州市,,浙江金源投资管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-09-09?,2016-06-01?,平台失联 问题发生时间：2016-06-01 ?,1小时?,,
1432,元宝街,https://www.goldbao.com/,,1000,上海市,上海市,,在路上（上海）投资管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-01?,,,1小时?,,
1433,MONEYHOME,http://jinwo.jrhoo.com,,5000,上海市,上海市,,上海老马金融信息服务有限公司,,问题平台?,是?,否?,2016-01-11 360联盟贷原网址：http://www.360lmd.com/温州联盟民间融资信息服务有限公司?,,,,400-862-0862?,,,,上海市闵行区中春路7001号明谷科技园C幢706?,,2015-12-18?,2016-07-27?,网站打不开?,1小时?,,
1434,百融网,http://www.100rong.com/,,3001,河南省,郑州市,,河南百融金融服务有限公司,,正常?,是?,否?,,,,,,,,,,,2014-08-15?,,,1小时?,,
1435,久盈投资,http://www.jyingtouzi.com/,,1170,浙江省,湖州市,,安吉久盈投资咨询有限公司,,问题平台?,否?,否?,,,,,,,,,,安吉县递铺镇云鸿西路1号（云鸿大厦）1幢701室、703室?,2014-08-29?,2015-06-20?,平台失联 问题发生时间：2015-06-20?,1小时?,330523000086217?,
1436,苏融贷,http://www.srdlc.com/,,5000,江苏省,苏州市,,哈撒韦（苏州）财富管理有限公司,,问题平台?,否?,否?,,,,,,,,,,,2013-12-27?,,,1小时?,,
1437,今日捷财,http://www.51jiecai.com/,,3000,上海市,上海市,,上海捷财金融信息服务有限公司,,正常?,是?,否?,,,,,,,,,,,2014-09-04?,,,1小时?,,
1438,华纳汇盈,http://www.warnerwin.com/,,5001,北京市,北京市,,华纳汇盈国际投资管理（北京）有限公司,,警?,否?,否?,2014.8.30 诈骗?,,,,,,,,,,2014-08-30?,,,1小时?,,
1439,爱康投资,www.aikangtouzi.com,,5000,浙江省,杭州市,江干区,浙江爱康投资管理有限公司,,已经处理，存在问题?,是?,否?,http://www.aikangtouzi.com/ 旧网站重复爱健康金融?,,,,,,,,,杭州市江干区万银大厦3404室?,2014-09-02?,,,1小时?,,
1440,弈信贷,http://www.yxbdai.com/,,19500,浙江省,宁波市,,宁波弈信邦投资管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-09-12?,2016-01-25?,提现困难 问题发生时间：2016-01-25 ?,1小时?,,
1441,爱信贷,http://www.ixindai.cn/,,3000,北京市,北京市,,爱信财富投资管理(北京)有限公司,,问题平台?,否?,否?,网站打不开 2016-01-24 止 ?,,,,,,,,,,2014-12-10?,,,1小时?,,
1442,汉贷网,http://www.hdwp2p.com/,,5000,湖北省,武汉市,,武汉一诺千金金融信息咨询有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-07-26?,2014-08-28?,网站打不开?,1小时?,,
1443,山东互助贷,https://www.huzhudai.cc,,1000,山东省,青岛市,,青岛恒强投资有限公司,,问题平台?,是?,否?,https://www.huzhudai.cc/ 旧 http://new.huzhudai.cc/20161230改?,,,,,,,,,,2014-08-06?,,,1小时?,,
1444,海金仓,https://www.haijincang.com/,,3000,北京市,北京市,,北京海金仓金融信息服务有限公司,,正常?,是?,否?,旧站：http://www.haijincang.com/?,,,,400-061-0239?,,,,北京市海淀区丹棱街1号院互联网金融中心C-18层?,,2014-09-01?,,,1小时?,,
1445,搜易贷,https://www.souyidai.com/,,5000,北京市,北京市,,搜易贷（北京）金融信息服务有限公司,,正常?,是?,否?,,,,,,,,,,,2014-09-27?,,,1小时?,,
1446,小鸡理财,https://cg.xiaojilicai.com,,6000,浙江省,宁波市,鄞州区,宁波合众芸创财富投资管理有限公司,,正常?,是?,否?,原网址：https://cg.xiaojilicai.com 原合创优贷?,,,,0574-27989567?,浙江?,宁波?,鄞州区?,浙江省宁波市鄞州区世纪大道北段323号，华东城1号楼18楼?,浙江省宁波市鄞州区新天地东区1幢1-3号，民安路1018号（4-12）?,2014-09-04?,,,1小时?,91330204066620026D?,
1447,铜掌柜,https://www.tzg.cn/,,3157.9,浙江省,杭州市,,杭州铜米互联网金融服务有限公司,,正常?,是?,否?,,,,,,,,,杭州余杭区良睦路1288号梦想小镇8号楼?,杭州市余杭区仓前街道良睦路1288号8号楼?,2014-10-13?,,,1小时?,91330110396315438Q?,
1448,国汽金融,http://www.guoqijinrong.com/,,1000,广东省,深圳市,前海,深圳前海众合互联网金融服务有限公司,,问题平台?,是?,否?,,,,,,广东?,深圳?,福田区?,深圳市福田区泰然六路海松大厦A座1007室?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2014-09-01?,,,1小时?,914403003267113123?,4403050020060100017000001?
1449,彩云金融,http://www.caiyunjinrong.com/,,100,云南省,昆明市,,云南百翼信息咨询有限公司,,预警平台?,是?,否?,2018-01-29 网站打不开?,,,,,,,,,,2014-08-29?,,,1小时?,,
1450,轩鸿在线,https://www.xuanhong.com/,,2000,广东省,深圳市,福田区,深圳市协信源电子有限公司,,问题平台?,是?,否?,散标是旧版的标，新标没有期限。2017-09-26 由深圳市轩鸿易贷电子商务有限公司更名为深圳市协信源电子有限公司?,,,,,广东?,深圳?,福田区?,深圳市福田区金田路皇岗商务中心1号楼2106-2110单元??,深圳市福田区福田街道滨河大道5022号联合广场A座701?,2014-08-22?,2015-05-30?,终止运营?,1小时?,91440300065492472C?,4403040030061100003000059?
1451,九一贷,http://www.p2p91.com/,,5000,江苏省,无锡市,,江苏九一贷信息咨询服务有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-11?,,,1小时?,,
1452,金德易贷,http://www.bzjdyd.com/,,500,山东省,滨州市,,滨州金德易投资咨询有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-09-05?,,,1小时?,,
1453,北部湾财富,http://www.beibuwancaifu.com/,,1000,广西省,南宁市,,广西清羽投资管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-01?,,,1小时?,,
1454,正信财富,http://siyudc.gotoip55.com/,,5000,浙江省,湖州市,,湖州正信投资咨询管理有限公司,,正常?,否?,否?,旧站：阳光e贷，http://www.yged365.com/ 北京阳光e贷更名：阳光e贷 ?,,,,4008-057-220?,,,,浙江省湖州市人民路191号?,湖州市苕溪路商住楼1号楼人民路191号?,2014-07-10?,,,1小时?,91330502098146111M?,
1455,投宝金融,http://www.17toubao.com/,,5000,安徽省,合肥市,,安徽天成资产管理运营有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-26?,,,1小时?,,
1456,世誉投融城,http://www.syiic.com/,,3000,山东省,青岛市,,青岛世誉资本管理有限公司,,问题平台?,否?,否?,测试中?,,,,,,,,,,2014-08-26?,,,1小时?,,
1457,逍遥贷,http://www.xyp2p.com/,,2000,湖北省,襄樊市,,逍遥贷金融客户服务湖北有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-09-06?,2016-07-30?,限制提现?,1小时?,,
1458,迈龙财富,http://www.mylong.com.cn/,,1000,广东省,深圳市,前海,深圳前海迈龙网络技术有限公司,,警?,否?,否?,,,,,,广东?,深圳?,宝安区?,深圳市宝安区宝兴路万骏经贸大厦1610-1611?,深圳市前海深港合作区前湾一路鲤鱼门街一号前海深港合作区管理局综合办公楼A栋201室（入驻深圳市前海商务秘书有限公司）?,2014-08-28?,,,1小时?,440301109186117?,4403050020060100017000001?
1459,钱塘人家,http://www.qtrenjia.com/cms/index.jsf?cur=top1,,2000,浙江省,杭州市,滨江区,杭州煌拓实业有限公司,,问题平台?,是?,否?,提现困难 问题发生时间：2014-12-10 ?,,,,,,,,,杭州市滨江区江南大道3880号华荣时代大厦1幢2003室?,2014-09-11?,2014-12-10?,提现困难 问题发生时间：2014-12-10 ?,1小时?,,
1460,乔赢财富,http://www.qycf8888.com/,,5000,浙江省,宁波市,鄞州区,宁波乔赢投资管理有限公司,,问题平台?,是?,否?,,,,,,,,,,宁波市鄞州区中河街道天童北路1107号1204、1205室?,2014-10-08?,2015-08-24?,提现困难 问题发生时间：2015-08-24?,1小时?,330212000410814?,
1461,甬享未来,http://www.yonglicf.com,,1000,浙江省,宁波市,,宁波弘瑞恩投资管理有限公司,,正常?,是?,否?,2018年7月甬利财富更名为甬享未来 原网址 http://www.yonglicf.cn/?,,,,,,,,,,2014-09-15?,,,1小时?,,
1462,润恒贷,http://www.runhengdai.com/,,5100,河南省,郑州市,,河南润弘投资有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-10-11?,2015-05-17?,失联网站打不开?,1小时?,,
1463,金泰财富,http://www.jintaicaifu.net/,,5000,山东省,泰安市,,山东金泰财富企业管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-09-11?,,,1小时?,,
1464,万锦创投,http://www.wanjinchuangtou.com/,,500,山东省,青岛市,,青岛万锦资产管理有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-08-27?,2015-01-09?,打不开?,1小时?,,
1465,凤城易贷,http://www.fengchengyidai.com/,,1000,江苏省,泰州市,,江苏腾源投资管理有限公司,,问题平台?,否?,否?,,,,,,,,,,,2014-10-18?,,,1小时?,,
1466,360贷贷网,http://www.360daidai.com/,,100,云南省,昆明市,,云南贷贷网络信息科技有限公司,,问题平台?,是?,否?,360贷贷网集资诈骗案骨干分子图片 经侦已立案 "http://tieba.baidu.com/p/4902775850 http://tieba.baid?,,,,,,,,,,2014-04-17?,2016-03-30?,网站打不开非法集资?,1小时?,,
1467,信通袋,https://www.xintongdai.com/index.jsp,,1000,贵州省,贵阳市,,贵州国信通电子商务有限公司,,正常?,是?,否?,,,,,,,,,,,2014-07-20?,,,1小时?,,
1468,不差钱,http://www.buchaq.com/,,5000,广东省,深圳市,前海,深圳市不差钱电子商务有限公司,,问题平台?,是?,否?,,,,,,广东?,深圳?,龙岗区?,深圳市龙岗中心城荣超英隆大厦A座1706?,深圳市前海深港合作区前湾一路鲤鱼门街一号前海深港合作区管理局综合办公楼A栋201室（入驻深圳市前海商务秘书有限公司）?,2014-07-18?,,,1小时?,91440300094057699A?,4403050020060100017000001?
1469,瑞信富盈,http://www.rxfycf.com,,3000,广东省,深圳市,前海,深圳市瑞信富盈财富管理有限公司,,正常?,是?,否?,2019年2月18日办公地址从罗湖乔迁至南山?,,,,0755-8376-9022?,广东?,深圳?,南山区?,深圳市南山区梦海大道5033号卓越前海壹号B座1507A?,深圳市前海深港合作区前湾一路1号A栋201室（入驻深圳市前海商务秘书有限公司）?,2014-07-16?,,,1小时?,914403000884259341?,4403050020060100017000001?
1470,美嘉创投,http://www.mjxintou.com/,,1000,山东省,青岛市,,青岛美耀联嘉电子商务有限公司,,问题平台?,是?,否?,,,,,,,,,,,2014-11-17?,2014-12-22?,打不开?,1小时?,,
1471,平乐贷,http://www.pingledai.com/,,5000,四川省,成都市,,成都左右金融信息服务有限公司,,问题平台?,是?,否?,2018-07-16 网站打不开 2017-07-04 主体由成都桑夏资产管理有限公司 更改为 成都左右金融信息服务有限公司?,,,,028-85230381?,,,,成都市武侯区龙腾东路36号中海大厦0310?,四川省成都市天府新区兴隆街道宝塘村成都科学城新金融中心?,2014-09-09?,,,1小时?,,
1472,商会易贷,http://www.shhbao.com/,,1000,广东省,广州市,天河区,广州市商惠宝电子商务有限公司,,问题平台?,是?,否?,,,,,,,,,广州市天河区珠江新城华明路9号华普广场西塔2604?,广州市天河区燕岭路120号901?,2014-09-19?,,平台失联?,1小时?,,
1473,方凯财富,http://www.shfkcf.com/,,5000,上海市,上海市,,上海方凯投资管理有限公司,,预警平台?,是?,否?,平台失联打不开?,,,,,,,,,,2014-09-15?,2015-08-06?,清盘?,1小时?,,
1474,私房钱,http://www.sifangqian.com/,,1000,福建省,厦门市,,厦门四方乾金融技术服务有限公司,,正常?,是?,否?,,,,,,,,,,,2014-09-17?,,,1小时?,,
1475,天天融,http://www.tiantr.com/,,1000,云南省,昆明市,,云南胡雪融投资有限公司,,问题平台?,是?,否?,网页打不开，疑似跑路 2016-10-31?,,,,,,,,,,2014-08-26?,2016-10-31?,网页打不开，疑似跑路 2016-10-31?,1小时?,,
